;abandonar;opuszczać, porzucać;to abandon;;
;abarcar;obejmować, zawierać;to include;;
;abolir;znosić, unieważniać;to abolish;;
;abordar;poruszać (np. temat), ściągać, pozyskiwać;to approach;;
;abrazar , abarcar;ściskać, obejmować;to hug;;
;abrigar;osłaniać, chronić;to shelter;;
;abrir;otwierać;to open;;
;abrochar;zapinać (pasy);to fasten;;
;absolver;uniewinniać, rozgrzeszać;to absolve;;
;aburrirse;nudzić się;to be bored;;
;abusar;nadużywać, wykorzystywać;to abuse;;
;acabar;kończyć, zużyć;to finish;;
;acariciar;głaskać;to caress;;
;acceder, concordar;zgadzać się, mieć dostęp (do czegoś);to agree;;
;acelerar;przyspieszać;to speed up;;
;aceptar ;akceptować;to accept;;
;acercar;przybliżać;to bring nearer;;
;acertar;trafiać;to hit, to guess;;
;achacar;zarzucać coś komuś;to attribute;;
;acoger;podejmować, przyjmować, ugościć;to welcome;;
;aconsejar;radzić, doradzać;to advise;;
;acordar;zgadzać się;agree on;;
;acordarse;przypominać sobie;to remember;;
;acostarse;kłaść się (spać);to go to bed;;
;acotar;odgradzać;to limit;;
;acudir;stawiać się, przybywać;to attend;;
;acusar;obwiniać, oskarżać;to accuse;;
;adelantar;wyprzedzać;to overtake;;
;adelgazar;chudnąć;to lose weight;;
;aderezar;przyprawiać;to season;;
;adherir;przylegać;to stick;;
;adivinar;zgadywać, przypuszczać;to guess;;
;administrar;zarządzać, kierować;to manage, to govern ;;
;admitir;pozwalać, uznawać;to admit;;
;adquirir ;nabyć;to acquire, to purchase;;
;advertir ;wskazywać, zwracać uwagę, ostregać;to warn;;
;afeitarse;golić się;to shave;;
;aferrarse;upierać się, obstawiać;to hang on;;
;afinar;stroić (o instrumentach);to tune;;
;agarrar;łapać, chwytać;to take, to grab, to catch, to hold on, to grip;;
;agotar;wyczerpywać, zużywać;to exhaust, to use up;;
;agradecer ;dziękować;to thank;;
;agravar;wzmagać, nasilać, potęgować, obciążać, uciskać;to make worse, to aggravate ;;
;agredir;napadać, atakować;to attack, to insult, to attack;;
;agregar;dodawać, łączyć, przydzielać;to add;;
;aguantar;znieść, wytrzymać;to endure, to bear, to put up with, to hold on, to stand;;
;agudizar;zaostrzać;to sharpen, to aggravate;;
;ahogar;dusić, topić;to suffocate, to drown;;
;ahorcarse;powiesić się;to hang oneself;;
;ahorrar;oszczędzać ;to save;;
;airar;drażnić;to anger;;
;alargar;wydłużać, przedłużać;to extend, to lengthen;;
;albergarse;schronić się;to lodge;;
;alcanzar;wystarczyć, zdołać;to reach;;
;alegrarse;cieszyć się;to be happy;;
;alejar;odsuwać, oddalać;to move away from, to keep away;;
;alertar;alarmować;to alert;;
;aliarse;sprzymierzać się;To be allied/leagued or coalesced;;
;alimentar;żywić, karmić, hodować;to feed, ;;
;alivar;odciążyć, ulżyć;to relieve;;
;almacenar;magazynować, przechować;to store;;
;almorzar;jeść obiad (no comer);to have lunch;;
;alquilar;wynajmować, wypożyczać;to rent;;
;alzar;podnosić, unosić;to lift, to erect;;
;amanecer;świtać, wschodzić; sunrise , dawn;;
;amenazar ;grozić;to threaten, to be in danger of;;
;amortiguar;amortyzować;to cushion, to muffle;;
;ampliar;zwiększać, powiększać;to increase, to extend;;
;andar;działać, chodzić;to work, to go;;
;animar;ożywiać, pobudzać, zachęcać;to encourage;;
;anochecer;zmierzchać;to get dark, dusk;;
;añorar;tęsknić ;to long for, to miss, to yearn for;;
;ansiar;pożądać, bardzo pragnąć;to long for, to yearn for;;
;anular;anulować;to cancel;;
;apagar;gasić, wyłączać;to turn off, to put out, to switch off;;
;apagarse;gasnąć (ogień), światło;to go out, to go off, to die down;;
;aparcar;parkować;to park;;
;aparecer ;pojawiać się;to appear, to turn up;;
;apenar;martwić;to sadden;;
;apestar;śmierdzieć;to stink;;
;apetecer;mieć ochotę, smakować;to feel like(to want) , to fancy;;
;aplanar;wyrównywać, spłaszczać;to level, to grade;;
;aplaudir;klaskać;to applaud, to clap;;
;apoderar;udzielać pełnomocnictwa;to authorize;;
;apoderarse;zawładnąć;to seize;;
;apoyar;opierać;to support, to rest;;
;aprehender;ująć, konfiskować;to apprehend;;
;aprender;uczyć się;to learn;;
;aprobar;zdać;to pass;;
;aprovechar ;przynosić korzyść, być przydatnym;to take advantage of, ;;
;apuñalar;dźgać, mordować;to stab;;
;apuntar;celować, wskazywać;to aim;;
;armar;uzbrajać;to assemble;;
;arrancar;zapalać (samochód);to pull out;;
;arrasar;wygładzać, zrównywać;to raze to the ground;;
;arrastrarse;czołgać się, pełzać;to crawl;;
;arreglar;naprawiać, porządkować, ogarniać, załatwiać;to fix, to reapair;;
;arreglarse;przygotowywać się;to get ready;;
;arrendar;dzierżawić, wynajmować;to rent;;
;arrepentirse;pokutować, żałować;to regret it;;
;arriesgar;ryzykować;to risk;;
;arrogar;przysposabiać, adaptować;to arrogate;;
;arrugar;marszczyć;to wrinkle;;
;asar;piec, grillować;to roast, to grill;;
;ascender;awansować, wspinać się;to rise, to promote;;
;asentar;ustawić, zainstalować, utworzyć ;to set up;;
;concertar;uzgadniać, zorganizować, zgrać ;to arrange, to be in tune;;
;asesinar;zamordować;to murder;;
;asistir;uczęszczać, być obecnym;to attend;;
;asomar;wystawać, wystawiać;to stick out;;
;asomarse;wychylać się;to look, to stick out;;
;asombrarse;dziwić się; to be amazed, to be astonished;;
;asustar;przestraszać;to frighten, to scare;;
;atacar;atakować;to attack;;
;atar;wiązać, przywiązywać;to tie;;
;atascar;zapychać, zatykać;to block;;
;atemorizar;straszyć;to frighten;;
;atender;uważać, troszczyć;to look after, to attend to;;
;cuidar;pielęgnować, opiekować się;to take care of, to look after;;
;aterrizar;lądować;to land;;
;atrasar;przesuwać, cofać; to postpone, to delay ;;
;atrasarse;spóźniać się;to be late, to fall/get behind, to be delayed;;
;atreverse ;mieć czelność, ośmielać się;to dare;;
;atropellar;potrącać, przejechać;to run over;;
;aullar;wyć( zwierzę, wiatr, człowiek);to howl;;
;auxiliar;wspierać, pomagać;auxiliary, to help;;
;avalar;poręczać;to guarantee;;
;avergonzar;zawstydzać;to embarrass;;
;avinagrarse;kwaśnieć, gorzknieć;to sour, to become sour;;
;avisar;zawiadamiać, ostrzegać, uprzedzać;to notify, to warn;;
;ayudar;pomagać ;to help;;
;ayunar;pościć;to fast;;
;bailar;tańczyć ;to dance;;
;bajar;schodzić, wysiadać;to go down;;
;bañarse;kąpać się;to have a bath;;
;barajar;tasować;to shuffle, to quarrel;;
;barrer;zamiatać;to sweep;;
;batirse;bić się;to fight;;
;beber;pić ;to drink;;
;bendecir;błogosławić;to bless;;
;besar;całować;to kiss;;
;botar;marnować (pieniądze),wyrzucać, zwalniać z pracy, odbijać się, wodować;to waste, to throw away,to fire (work), to bounce, to launch  ;;
;brindar;wznosić toast, oferować;to toast , to offer ;;
;bromear;żartować;to joke, to kid ;;
;bruñir;polerować; to polish ;;
;burlarse;nabijać się, wyśmiewać;to mock, to make fun of ;;
;buscar;szukać , zabrać ze sobą;to look for, to look up, to pick up;;
;caber;mieścić się, być możliwym;to fit, to be possible;;
;caerse;upadać, mdleć, walić się, upuszczać, spadać;to fall (over down out off), to collapse, to hang, to drop ;;
